Card File Name,Card number,Teaching,Activity,content sections
TAoSH-13-8,13,"Be Authentic
What do I mean by authentic? Simply put, discover who you are and live true to yourself? In other words – walk your talk.

Do you know your core values? The following activity can help you to find out what your core values are. (Hoople, 2012)

When you live by your core values, people can feel this and they trust you at a deep level without even understanding why. We communicate in many different ways – speech, facial expression, body language, thoughts, feelings, belief systems – you can feel all of these about another person.

“Do you live by your core values?”

If your answer is yes – awesome! Keep it up!

If your answer is no – then you can start today! It’s never too late to start.

When you live your life by your core values your passion and purpose illuminates you from within. Your body moves in flow, you glow with vitality and your wisdom is clear for all to see, feel and hear.","Exercise: Find Your Core Values
• Write down 20 values that really resonate with you.

• Narrow down those 20 values to the 10 most important.

• Narrow down those 10 values to the 5 most important.

• Decide their order of importance. Determine which of the 5 is least important and keep going to the most important.

• Do some creative journaling/brainstorming with your 5 most important core values. Write down and possibly illustrate what each of those values means to you. “Beauty” might mean:

- having an attractive personal appearance to one person
- surrounding oneself with beauty to another
- maybe creating beauty to someone else
- or it might mean all of the above

• Return to your list of core values whenever you’re making a decision. Ask yourself: “Is this in line with my 5 most important values?”",
TAoSH-14-8,14,"We all have the solution to our problems, we just need the space to verbalise and work through it. 

Don't verbally vomit all over someone and walk away feeling better. If you do this you won’t have a friend/confidante for very long and also you run a high risk of initiating a tight downward spiral of emotion that sucks both of you into the whirlpool. No benefit is gained for you and you’ve contaminated your friend/confidante as well.

A great confidante is someone who doesn’t mix with you socially. They don’t know the people or situations about which you are emotionally processing.

The risk you run of choosing a confidante who is involved in your social scene, work environment or knows the people or situations you are processing is that they will betray your confidence.

The key to any communication with a confidante is to have the purpose of self-understanding from every connection with them.

Always set the intention to discover the higher learning from your experiences as this helps you grow your self-understanding at a great speed.

You receive gifts in every encounter and you release trapped emotion before it manifests as a tangible illness or disease.","Exercise: Have a confidante
The meaning of confidante is a person to whom secrets are confided or with whom private matters and problems are discussed.

A confidante is person who listens, asks probing questions, but does not try to fix your problem. When you have a true confidante to discuss your problems with, this will assist you to unravel the trapped emotions caught up in the drama of what’s happening.
",
TAoSH-15-8,15,"Don’t confuse empathy with sympathy!
According to the Oxford Dictionary sympathy means “Feelings of pity and sorrow for someone else’s misfortune”.

This is the difference between empathy and sympathy. When you empathise you feel what others are experiencing to the point of understanding their emotions in relation to their circumstance, but you don’t go down the rabbit hole of drama with them.

When you sympathise, not only do you understand the emotions, you personally experience it as you jump into the whirlpool with them and your energy spirals out of control like theirs. This doesn’t help you or them in a constructive way.

When you understand this distinction and focus on empathy rather than sympathy, the negative feelings associated with sympathy don’t happen.

It is also important to understand the impact of having too much empathy, or being a natural empath.","Exercise: How to handle too much empathy
There are many well-known ways of protecting your energy and handling your empath gift such as:

• A Prayer of Protection see page 27 for my prayer.

• White light yourself imagine you are surrounded by white light.

• Put yourself inside a protective box or cylinder – see page 25.

• Aromatherapy burning essential oils to cleanse the room and protect your energy; wear the oils on your body.

• Aura Soma is a form of colour healing therapy which works on the aura.

• Singing bowl use a singing bowl to transform the energy in your workplace, home and around you.",
TAoSH-16-8,16,"The Amnesia Line®
The Amnesia Line® is a concept that helps explain why things can go pear shaped in life and at other times everything flows. When you go below the line you forget all the resources you have to manage the bumpy ride called life.

When you are above the line you magically know what to do and when to do it making life feel easy and effortless. You seem to live with purpose, cope with disasters and have fun. ","Exercise: How To Stay Above The Amnesia Line®
• Whilst in a good space mentally, make a list of 10 things you love to do that make you happy, calm, peaceful, centered, rejuvenated, relaxed.

• Write the list on the back of an old business card and put it somewhere you will see it when you need it.

• Here’s my list:
1. Paint
2. Draw
3. Read trashy novels
4. Make sacred art from ripped paper
5. Go for a bush walk
6. Listen to music
7. Call a friend
8. Go to the movies
9. Re-arrange the furniture
10. Take photographs of flowers

You need to write these things down because when you go below the Amnesia Line® you forget all the amazing things you love to do that make you happy and help you cope with life.

You may need to do more than one activity to breakthrough and move back above the Amnesia Line®. The secret to getting back above the Amnesia Line® is to take action. Any action – you need to get the energy moving, so do something you know historically makes you happy.",
TAoSH-17-8,17,"Intuitive Healing 
If you WANT to successfully use intuitive healing in your life, you need to practice every day to keep your skills current. The interesting thing is – the more you practice, the more you will want to practice.

This is the first step to real change. Decide now whether you are going to do what it takes. Remember, just wanting something is not enough - you need to take ACTION.
","Exercise: Journal
Get a journal or a folder that can be used solely for your insight and intuitive healing development and record what you do, what you learn and what action you take. 

There are two reasons for this:

(a) you will have a record of your development – this is important because as you grow you will forget how you felt and what your ability was like in the beginning. If you fall into the “doubt cycle” you’ll forget how far you’ve come and your journal will act as your evidence

(b) you will be able to record your unique insights and what they mean for you. These insights will guide you to create and initiate self-healing templates unique for your situation",
TAoSH-18-8,18,"Practice Intuitive Exercises Daily
If you want to elevate your intuition you must practice. You need to train in the same way you would train for the Olympics. If you want exceptional intuition, you have to put in the work.

You don’t have to be an artist to draw or paint like the image in this card. This activity helps you to express yourself, not necessarily create pictures that amaze and astound people.

It is important to get both sides of your brain talking to each other. One way is left and right hand drawing and writing.","Exercise: Left Hand | Right Hand Drawing/Painting
This card is an example of this exercise. If you would like to know more about this process I recommend you read the book - ""The Power of Your Other Hand"" by Lucia Capacchione.

One of the exercises is to draw or paint a picture with your dominant hand and duplicate it with your non-dominant hand.

You may feel challenged by this exercise, yet I highly recommend you do it.

You can either draw or paint by copying something out of a book or from your phone; or you can use your imagination. Do the first image with your dominant hand and then replicate the image with your non-dominant hand.

It is a lot of fun and you can do it by yourself (retreat time); with friends; or with your children. You can paste the images into your journal and document your progress. Also make a note of any improvement in your intuition or brain working better.",
TAoSH-19-8,19,"Left-hand / Right-hand Writing
When you write or draw with your non-dominant hand the left brain or analytical aspect of self cannot make its presence felt. You are concentrating so intently on performing the next stroke of the pen, there is no space for the ego-mind chatter.

By doing this exercise you are building the bridge between your conscious and subconscious minds. This bridge is very helpful in triggering intuitive episodes.

Not only are you learning to tune into your subconscious mind, you are learning to tune into the collective consciousness where all answers reside.

When you practice this exercise you are 100% focused in the moment. And that is exactly what you want to be doing, training yourself to be 100% focused in the moment.

This exercise is also adapted from ""The Power of Your Other Hand"" by Lucia Capacchione.","Exercise: Left-hand / Right-hand Writing 
This is an extraordinary exercise for tapping into your subconscious and bringing the answers into the conscious domain that may otherwise remain hidden. The process for tapping into your subconscious by writing with both hands is:

• Think of a question whilst holding a coloured felt pen in your
dominant hand (the hand you normally write with).

• Write the question on a piece of paper.

• Hold a different coloured felt pen with your non-dominant hand and read the question again (either out loud or silently).

• Write the answer below the question.

This exercise works on many different levels and it is great to observe them all:

• You will notice that when the answer is more emotional it is more difficult to write legibly with your non-dominant hand.

• Your breathing will change rhythm when you are getting to the root of a problem. You may even develop a dry cough. This is a great signal to observe and use as a motivator to keep going.

• You may find when you are getting to the core of a problem you want to give up or distract yourself with an “urgent” task (this is called procrastination). Keep going as you’ll appreciate the result.

• You may notice you think you know what you’ll write with the non-dominant hand and the answer can be surprisingly different in a good way.",
TAoSH-20-8,20,"Ears
When there are problems with the ears this indicates not wanting to hear or being blocked from hearing something of importance.

Everyone can experience the download of information or understand what their resistance is to discovering an answer. Whether you hear with your physical ears or not does not change this process. Therefore, people who are deaf or hearing impaired are also able to participate and examine the symbolism and contemplate the question – “What is it I am not hearing?”","Exercise: Magnify Hearing
• Sit quietly in nature. Locate and isolate the individual sounds closest to you – listen for 2 minutes, become really familiar with them.

• Move your hearing focus out to about 50 meters (we’ll call this the middle distance) and locate and isolate the sounds at this distance for 2 minutes.

• Leave these sounds and move your hearing focus out to about 200 meters, locate and isolate the sounds coming from this far away for 2 minutes.

• Now open your awareness to all of the sounds simultaneously. This exercise will enhance your inner and outer hearing faculties.",
TAoSH-21-8,21,"Mirror Writing
This exercise was inspired by the book ""The Power of Your Other Hand"" by Lucia Capacchione. However, she didn't teach this method. 

Being a person with an Olympian mindset didn’t stop at doing the exercises from ""The Power of Your Other Hand"". When Mum told me she used to write to a pen pal in Europe using the mirror writing technique I was intrigued and immediately started practicing.

I enjoyed this process so much I began channeling poems and 365 quotes - one for each day of the year. You might like to do this exercise and write something you have always wanted to do.
","Exercise: Mirror Writing
Mirror writing is when you start writing on the right hand side of the page and flip each letter backwards. It takes a lot of concentration and your brain can't jump too far ahead with words because you are focusing on flipping each letter backwards to make your word. 

When you first start doing this exercise I recommend you have a little mirror on hand so you can check that you are flipping your letters correctly. They should look the correct way in the mirror when you look at what you have written.

This card shows you an example of mirror writing.

The writing on the right page is written from right to left by flipping the letters around. The writing on the left page is what you see in the mirror when you hold the page up to the mirror.

Try it! You may find it becomes one of your fun activities.",
TAoSH-22-8,22,"Teeth
We use our teeth to bite and chew. Sometimes we can feel we have bitten off more than we can chew. When there are problems with the teeth – look at how you manage the things you take on in your life.

If teeth problems show up unexpectedly review what you’ve been doing and you may find you’ve bitten off more than you are comfortable with. Focus on smaller elements of the bigger picture. This next exercise is a condensed version sourced from www.naturalnews.com.","Exercise: Oil Pulling
• On an empty stomach (best done first thing in the morning), put a dessertspoon of organic cold-pressed oil (coconut, olive, sesame or sunflower) into your mouth and swish and pull it through your teeth for 15-20 minutes.

• Do not swallow the oil. Spit it out (in the bin or outside). Brush your teeth with toothbrush #1 (no toothpaste).

• Rinse your mouth with salty water (use Himalayan rock or Celtic sea salt).

• Pull the salty water through your teeth.

• Brush your teeth with toothbrush #2 with natural toothpaste.",
TAoSH-23-8,23,"Patterned Water
In 1994, I went to Taiwan for a holiday and while there I was introduced to a man called “The Admiral”. He was an exceptional healer and Qi Gong Master. He was very generous with his time and shared profound wisdom with me. One of the things he demonstrated was the gift of patterning water.

He filled two clean glasses with tap water. I tasted the water in both glasses and they both tasted the same. He put one glass to the side, held the other glass in one hand and placed the other hand over the top of the glass. He closed his eyes and incanted 20 Buddha’s names in a particular order. (My understanding is that the Buddhist faith has Buddha’s similar to the saints in the Catholic Church.)

When he had finished he asked me to taste the water again. I was amazed to find it tasted like Chinese herbs. Yet the water was still clear and I knew he hadn’t added any powder or liquid to it. I felt immediately revitalised as if I had been given a potent tonic to drink. 

I didn’t learn the order of the Buddha’s names, but when I returned home to Australia, I wondered whether it was possible for me to pattern water like “The Admiral”. It is possible.","Exercise: Patterned Water
Put tap water into 2 glasses.
Taste both glasses of water. They should taste the same.

Put one glass aside and hold the other glass whilst doing this visualisation.

Imagine being in a room in another dimension. It looks like a herbalist’s cottage from ancient times. The walls are lined from floor to ceiling with shelves containing herbs in packets – some are powdered, others are the whole dried herb.

In the centre of the room is a timber table. It is a rustic room – no paint anywhere – just worn timber.

The glass of water is sitting on the timber table. Scan the room and you'll see some of the packets of herbs will glow. Take these packets of herbs out of the shelves and place them on the table. Open each packet and put some of the herb into the glass of water. Use your intuition - it might be a sprinkle to a pinch to a teaspoon. 

When all the herbs are in the glass of water, look behind you and you will notice a basket full of freshly cut flower heads, no stems. Choose a flower from the basket and place it on top of the glass of water.

There will be an alchemical flash of bright light and you will come all the way back into your body and into the room you are physically in. Taste the water from the glass you are holding and then taste the second glass that has been set aside. 

Do they taste different?

If they do, you have just patterned water for yourself that is going to help you heal. Experiment with this exercise. It is fun and you may enjoy drinking water you have patterned for yourself.",
TAoSH-24-8,24,"Lower Back
Generally, the lower back is about tension around finances. Questions to consider if your lower back is a problem for you are:

• Am I behaving responsibly with my finances?
• What am I afraid will happen?
• What am I doing to increase my financial security and do I believe it is possible?
• Am I taking responsibility for other people’s financial wellbeing?
• Do I have a savings plan?
• Do I have a budget?

Your answers to these questions will help you locate the emotional blockage causing the pain in the lower back.

Again, if it is on the left side look to the past and if it is the right side look to the present for the emotional block.

If it is the spine specifically look at the structure of how you manage your finances as the spine is about the structure of your life. ","Exercise: Pay Me First
If you haven’t already, start a “Pay Me First” account and put 10%
of what you earn into this account before you pay anyone else and
watch it grow. As your money grows you will gain a sense of financial
security and ease the tension in your lower back. 

If per chance, 10% is out of your depth, begin with 5%, 2% or 1%. The important thing is to start!",
TAoSH-25-8,25,"Arms | Hands
The arms and hands represent RECEIVING and invariably people who have a problem with this part of their body, struggle with receiving. They are genuinely nice, giving, caring people who would give you the shirt off their back if you needed it. However, when someone offers these people the shirt off their back (metaphorically speaking), this archetype generally says, “No thank you, I’m fine!” Or they find someone else to pass it forward to.

If you experience arm or hand problems practice receiving with gratitude. It may feel unfamiliar to you and you will resist doing it. This is why I suggest you PRACTICE, PRACTICE and more PRACTICE. You will break down your super neural highway of non-receiving and this can take some time if you do it on your own. Alternatively, you can find someone who specializes in this type of work to re-pattern your subconscious to receiving mode.

Underlying the pattern of not receiving with ease and grace are a plethora of limiting beliefs and it is those beliefs that need to be addressed either on your own, or with a practitioner skilled in this work.","Exercise: Receive
• When you are offered help, an item, a compliment, support with no strings – RECEIVE it gracefully. The secret is to receive without feeling any obligation to repay or give back to the person offering it.

• You can “pay it forward” as this movement keeps the energy of giving and receiving moving. Remember, you cannot give what you do not have! Be sure to fill your inner reservoir first before giving.",
TAoSH-26-8,26,"Neck
We use our neck to turn from side to side and see all opportunities on our path. When a problem with the neck shows up, this tells me a decision is about to be made and all the opportunities have not been considered.

Tension builds up as intuition suggests something important is missing. The left side of the neck indicates an opportunity with links to the past (more than 2 years back) and the right side of the neck indicates an opportunity with links from now back over the past 2 years.","Exercise: Release Neck Tension
• Place your chin on your chest and gently look left keeping your chin as close to your chest as possible and then look gently to your right.

• Slowly look to the left and right several times – keeping your chin as close as possible to your chest. Not only will you keep your neck more subtle, but you will also exercise the muscles going down under your shoulder blades. If this causes pain, don’t do it and see a practitioner of your choice. However, do consider opening up to further opportunities before making whatever decision is happening in your world right now.

• You can use the same technique as Exercise #9 too, page 58. Wrap your hands around your neck and consider opening up to seeing all your opportunities and say, “I can do that!” until your body believes you.

• If you are still in pain, consider what you are doing to block new opportunities from your path, put your hands on either side of your neck and say, “I don’t have to do that anymore!” until your body believes you.",
TAoSH-27-8,27,,"Exercise: Release Pain
• Review the decisions you have made recently. Are they in-line with your purpose? Do you feel in flow with these decisions? If no, where is the conflict? Change this part of your decision. Sometimes it only needs a tweak.

• Once you have identified the problem, put your best (the one that feels most comfortable) hand on the affected part of your body and say out loud, “I don’t have to do that anymore!” Repeat these words out loud until you really believe them. Energy will rush through your torso when your body believes you mean it.

• If the pain doesn’t completely leave your body, ask yourself what is it you are not doing for your purpose and need to be and say out loud, “I can do that!” Repeat these words out loud until you really believe them. Again, energy will rush through your torso when your body believes you mean it.

• Has the pain gone? If not, look deeper within to locate the precise action or thought triggering the pain.

• This technique works best on new pain problems. And you must honor the commitment you make with these words, otherwise the pain will return because you haven’t made the changes permanently.",
TAoSH-28-8,28,"I recommend this to be one of your priority templates for living a balanced, harmonious life if you are prone to stress and anxiety. It is a resource to be used regularly.","Exercise: Release Stress and Anxiety
Worry is a key contributor to stress. To release stress and anxiety,
locate what you are worried about. Score your stress out of 10 eg., 8:10

• Stand in front of the mirror. Place you right hand on your thymus gland. It is located behind the sternum (chest plate) and between your lungs.

• Look into your eyes in your reflection and say out loud in reference to the worry: “I don’t have to do that anymore!”

• Repeat these words.

• Repeat again, this time really mean it and convince your reflection.

• Do you feel warmth flooding through your chest and then move through your body?

• If yes, go to the last step. If no, repeat the above step until you do.

• Wait two minutes and check in with yourself to see if your stress levels have dropped. What score do you give yourself now?

• If the score is higher than 5 place your hand on your thymus gland and ask yourself is there anything you could be doing you are not doing which is causing you stress.

• Look at your reflection and say out loud in reference to this “thing” you are not doing: “I can do that!”

• Repeat these words.

• Repeat again, this time really mean it and convince your reflection.

• Do you feel warmth flooding through your chest and then moving through your body?

• If yes, go to the last step. If no, repeat the above step until you do.

• Wait two minutes and check in with yourself to see if your stress levels have dropped. What score do you give yourself now?

• If you are still above 5:10 look for a different source of stress and repeat either or both processes again.",
TAoSH-29-8,29,"There has to be balance in our life. There needs to be as much inflow as outflow. The reservoir needs to
be full and there must be self-nurturing.

It is not selfish to self-nurture or receive nurturing from others. It is ESSENTIAL for your health and wellbeing. Once again, remember you cannot give what you do not have! Be sure to fill your inner reservoir first.","Exercise: Retreat Day
• Every 4-6 weeks, stay in bed all day on your own for 1 day. Sleep in, read a book, listen to music, unplug from the grid – no phone, no iPad, no computer, stock up on healthy treats, drink tea, meditate.

• Re-fill your inner reservoir in whatever way works for you. I know this works – I have been doing it since my cancer diagnosis in 2000. It has been instrumental in my amazing and phenomenal healing.",
TAoSH-30-8,30,"How to manage the expectations of others and yourself?

If you have a job that requires you to do tasks that you really don’t want to do (and they deflate your energy), you may need to find another job or do the tasks you are paid to do, but change the way you think and feel about them.

One way I am able to do this is to think of the jobs/tasks I don’t want to do, but really need to do, as an act of service and contemplate the Divine Being as I do them.

If you have children and/or pets you are responsible for, at times you will have to do things you don’t want to do.

Again I recommend you shift the focus from imposition to service.

However, if there are things you NEED to do because you are responsible for them and they are causing you to struggle emotionally, physically, mentally or spiritually, ask for help. But don’t be surprised when some people say “NO”.

It doesn’t mean you don’t deserve to get help. The people who say “NO” are looking after their balance of energy (whether this is being done consciously or unconsciously).

Keep asking till you find someone who has the capacity to help you.

Ask in a heart-felt, conscious way, not in a demanding, unconscious way. The outcome will always be more positive. Have you noticed how difficult people find it to ask for and accept help?","Exercise: Say “No”
• Say “NO” when you want to say “NO”.

• Although, in saying that, you will need to use some discernment in your job and your unique life responsibilities.",
TAoSH-31-8,31,"This template works particularly well if you have been in a negative environment and need to re-energise. It can help when you are feeling fatigued or drained by other people. When you sit in front of the computer for long periods of time this template helps, too.","Exercise: Sharing Nature’s Energy
You can quickly and easily re-energise yourself with this simple energy exchange.

• Find a tree, plant or grass that appears to be more vibrant and vital than the rest.

• If you are indoors, look out a window or use an indoor plant in your workplace or home.

• If you are outdoors, you have plenty of variety to choose from.

• To activate this template ask the tree or grass or indoor plant if you can share its energy.

• Imagine you can see/feel the energy field around the plant. You may even be able to see/feel the energy field with your eyes open. Tap into this field and use it to refill your depleted energy resources.

• Just as we have an energy field around our body, plants have this energy field around them and you can blend with it.

• As you take a deep breath in, imagine the shape of the infinity symbol dancing between you by visualising the light around the plant being drawn into your lungs with love.

• As you breathe out send this energy back to the plant with gratitude, completing the infinity symbol.

• Repeat this cycle for 3 minutes and feel your energy increase with each breath.

• Enjoy the experience of this much needed tonic.

Use a prayer like this one to activate energy sharing with your chosen tree, grass or indoor plant.

“Magnificent tree (/grass/plant) may I share your glorious vitality so that I can replenish my depleted energy reserves. (Breathe it in deeply when you breathe out say) And I send it back to you with my deepest gratitude for your generosity.”",
TAoSH-32-8,32,"Spine
The spine provides the structure for the body. When the spine has problems, the place to inspect is the structure of your life. You may feel unsupported in certain areas of your life such as your career, relationships, personal development or spiritually.","Exercise: Spine Stress Release
• A great way to help relieve the stress in your spine is to find the area of your life that requires structure and put it in place. It is amazing how fast the body will reflect the shifts you make energetically and emotionally.

• Another way to release stress in your spine is to work with a massage therapist. When they locate a tension spot, intuitively tune in to the source and let it go through the “I don’t have to do that anymore!” technique.",
